Gene	Product
dgcN	diguanylate cyclase DgcN
dgcP	diguanylate cyclase DgcP
dgcQ	diguanylate cyclase DgcQ
dgcT	putative diguanylate cyclase DgcT
dgcZ	diguanylate cyclase DgcZ
dgkA	diacylglycerol kinase
dgoA	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
dgoD	D-galactonate dehydratase
dgoK	2-dehydro-3-deoxygalactonokinase
dgoR	DNA-binding transcriptional regulator DgoR
dgoT	D-galactonate:H(+) symporter
dgt	dGTP triphosphohydrolase
dhaK	dihydroxyacetone kinase subunit K
dhaL	dihydroxyacetone kinase subunit L
dhaM	dihydroxyacetone kinase subunit M
dhaR	DNA-binding transcriptional dual regulator DhaR
diaA	DnaA initiator-associating protein DiaA
dicA	DNA-binding transcriptional dual regulator DicA
dicB	cell division inhibition protein DicB
dicC	putative DNA-binding transcriptional regulator
dicD	DNA-binding transcriptional regulator DicD
dicF	small regulatory RNA DicF
digH	divisome localized glycosyl hydrolase
dinB	DNA polymerase IV
dinD	DNA damage-inducible protein D
dinF	DNA damage-inducible protein F
dinG	ATP-dependent DNA helicase DinG
dinI	DNA damage-inducible protein I
dinJ	antitoxin/DNA-binding transcriptional repressor
dinQ	membrane toxin DinQ
djlA	co-chaperone protein DjlA
djlB	J domain-containing protein DjlB
djlC	co-chaperone DjlC
dkgA	methylglyoxal reductase DkgA
dkgB	methylglyoxal reductase DkgB
dksA	RNA polymerase-binding transcription factor
dld	quinone-dependent D-lactate dehydrogenase
dmlA	D-malate/3-isopropylmalate dehydrogenase
dmlR	DNA-binding transcriptional regulator DmlR
dmsA	dimethyl sulfoxide reductase subunit A
dmsB	dimethyl sulfoxide reductase subunit B
dmsC	dimethyl sulfoxide reductase subunit C
dmsD	redox enzyme maturation protein DmsD
dnaA	chromosomal replication initiator protein DnaA
dnaB	replicative DNA helicase
dnaC	DNA replication protein DnaC
dnaE	DNA polymerase III subunit alpha
dnaG	DNA primase
dnaJ	chaperone protein DnaJ
dnaK	chaperone protein DnaK
dnaN	beta sliding clamp
dnaQ	DNA polymerase III subunit epsilon
dnaT	primosomal protein DnaT
dnaX	DNA polymerase III subunit gamma
dnaX	DNA polymerase III subunit tau
dolP	division and outer membrane stress-associated
dosC	diguanylate cyclase DosC
dosP	oxygen-sensing c-di-GMP phosphodiesterase DosP
dpaA	peptidoglycan meso-diaminopimelic acid protein
dpiA	DNA-binding transcriptional dual regulator DpiA
dpiB	sensor histidine kinase DpiB
dppA	dipeptide ABC transporter periplasmic binding
dppB	dipeptide ABC transporter membrane subunit DppB
dppC	dipeptide ABC transporter membrane subunit DppC
dppD	dipeptide ABC transporter ATP binding subunit
dppF	dipeptide ABC transporter ATP binding subunit
dps	DNA protection during starvation protein
drpB	cell division protein DrpB
dsbA	thiol:disulfide oxidoreductase DsbA
dsbB	protein thiol:quinone oxidoreductase DsbB
dsbC	protein disulfide isomerase DsbC
dsbD	thiol-disulfide exchange protein DsbD
dsbG	protein sulfenic acid reductase and chaperone
dsdA	D-serine ammonia-lyase
dsdC	DNA-binding transcriptional dual regulator DsdC
dsdX	D-serine transporter
dsrA	small regulatory RNA DsrA
dsrB	protein DsrB
dtd	D-aminoacyl-tRNA deacylase
dtpA	dipeptide/tripeptide:H(+) symporter DtpA
dtpB	dipeptide/tripeptide:H(+) symporter DtpB
dtpC	dipeptide/tripeptide:H(+) symporter DtpC
dtpD	dipeptide:H(+) symporter DtpD
dusA	tRNA-dihydrouridine synthase A
dusB	tRNA-dihydrouridine synthase B
dusC	tRNA-dihydrouridine(16) synthase
dut	dUTP diphosphatase
dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase
dxs	1-deoxy-D-xylulose-5-phosphate synthase
eamA	cysteine/O-acetylserine exporter EamA
eamB	cysteine/O-acetylserine exporter EamB
ebgA	evolved beta-D-galactosidase subunit alpha
ebgC	DUF386 domain-containing evolved
ebgR	DNA-binding transcriptional repressor EbgR
ecnA	entericidin A lipoprotein, antidote to
ecnB	bacteriolytic entericidin B lipoprotein
eco	serine protease inhibitor ecotin
ecpA	common pilus major subunit
ecpB	putative fimbrial chaperone EcpB
ecpC	putative fimbrial usher protein EcpC
ecpD	fimbrial adhesin EcpD
ecpE	putative fimbrial chaperone EcpE
eda	KHG/KDPG aldolase
edd	phosphogluconate dehydratase
efeB	heme-containing peroxidase/deferrochelatase
efeO	Fe(2(+)) transport system protein EfeO
efp	protein chain elongation factor EF-P
elaA	putative acetyltransferase ElaA
elaB	tail-anchored inner membrane protein ElaB
elaD	protease ElaD
elbB	low activity glyoxalase ElbB
elfA	putative laminin-binding fimbrial subunit
elfC	putative fimbrial usher protein ElfC
elfD	putative fimbrial chaperone ElfD
elfG	putative fimbrial-like adhesin protein
elyC	envelope biogenesis factor
emrA	multidrug efflux pump membrane fusion protein
emrB	multidrug efflux pump membrane subunit EmrB
emrD	multidrug efflux pump EmrD
emrE	multidrug/betaine/choline efflux transporter
emrK	tripartite efflux pump membrane fusion protein
emrY	tripartite efflux pump membrane subunit EmrY
