Gene	Product	Virulence?
cnu	H-NS- and StpA-binding protein	No
coaA	pantothenate kinase	No
coaD	pantetheine-phosphate adenylyltransferase	No
coaE	dephospho-CoA kinase	No
cobB	CobB-S	No
cobB	protein-lysine	No
cobC	putative adenosylcobalamin	No
cobS	cobalamin 5'-phosphate synthase	No
cobT	nicotinate-nucleotide--dimethylbenzimidazole	No
cobU	cobinamide-P guanylyltransferase/cobinamide	No
codA	cytosine/isoguanine deaminase	No
codB	cytosine transporter	No
cof	HMP-PP phosphatase	No
comR	DNA-binding transcriptional repressor ComR	No
copA	Cu(+) exporting P-type ATPase	No
copA	soluble Cu(+) chaperone	No
corA	Ni(2(+))/Co(2(+))/Mg(2(+)) transporter	No
cpdA	cAMP phosphodiesterase	No
cpdB	2',3'-cyclic-nucleotide	No
cpoB	cell division coordinator CpoB	No
cpsB	mannose-1-phosphate guanylyltransferase	No
cpsG	phosphomannomutase	No
cpxA	sensor histidine kinase CpxA	No
cpxP	periplasmic protein CpxP	No
cpxQ	small regulatory RNA CpxQ	No
cpxR	DNA-binding transcriptional dual regulator CpxR	No
cra	DNA-binding transcriptional regulator Cra	No
crcB	F(-) channel	No
creA	PF05981 family protein CreA	No
creB	DNA-binding transcriptional regulator CreB	No
creC	sensory histidine kinase CreC	No
creD	putative inner membrane protein CreD	No
crl	RNA polymerase holoenzyme assembly factor Crl	No
crp	DNA-binding transcriptional dual regulator CRP	No
crr	Enzyme IIA(Glc)	No
csdA	cysteine sulfinate desulfinase	No
csdE	sulfur acceptor protein CsdE	No
csgA	curlin	No
csgB	curlin, minor subunit	No
csgC	curlin chaperone	No
csgD	DNA-binding transcriptional dual regulator CsgD	No
csgE	curli assembly component CsgE	No
csgF	curli assembly component CsgF	No
csgG	curli secretion channel	No
csgI	curli synthesis inhibitor	No
csiE	stationary phase-inducible protein CsiE	No
cspA	cold shock protein CspA	No
cspB	cold shock-like protein CspB	No
cspC	transcription antiterminator and regulator of	No
cspD	DNA replication inhibitor CspD	No
cspE	transcription antiterminator and regulator of	No
cspF	cold shock-like protein CspF	No
cspG	cold shock protein CspG	No
cspH	CspA family protein CspH	No
cspI	cold shock-like protein CspI	No
csqR	DNA-binding transcriptional dual regulator CsqR	No
csrA	carbon storage regulator	No
csrB	small regulatory RNA CsrB	No
